Forename,Count
Jack,98007
Thomas,80419
Joshua,78830
James,70512
Daniel,67277
Chloe,64487
Harry,63296
Oliver,63136
Emily,61204
Samuel,57959
Jessica,56939
William,53642
Joseph,53617
Sophie,52938
Olivia,51332
Charlie,51107
Matthew,47895
Benjamin,45822
George,45736
Megan,45176
Lewis,44923
Charlotte,43371
Luke,43271
Callum,42112
Lucy,41360
Ryan,39504
Hannah,38777
Ellie,38741
Grace,38456
Alfie,37871
Adam,37090
Jake,36933
Ethan,35994
Alexander,35457
Katie,35040
Liam,34050
Jacob,33987
Amy,32905
Lauren,31691
Connor,30557
Ella,30181
Holly,29612
Dylan,29466
Amelia,29254
Ruby,28827
Lily,28591
Rebecca,27371
Mia,26814
Jamie,26647
Bethany,26644
Nathan,26581
Cameron,26402
Ben,26268
Emma,26091
Abigail,25863
Molly,25817
Georgia,25580
Tyler,24595
Max,24462
Michael,23484
Mohammed,23453
Owen,21611
JORDAN,21537
Alex,20626
Kieran,20065
Millie,20037
Aaron,19989
Leah,19931
Harvey,19805
Caitlin,19688
Evie,19462
Eleanor,19178
Daisy,18658
Bradley,18627
Jasmine,18399
Kyle,18185
Brandon,17847
Harrison,17809
Isabella,17766
Isabelle,17659
Archie,17658
Phoebe,17421
Elizabeth,17221
Alice,17057
Freya,16811
Edward,16793
Reece,16426
Louis,16422
David,16313
Henry,16237
Erin,15994
Amber,15795
Lucas,15446
Poppy,15359
MORGAN,15218
Oscar,15178
Courtney,15134
Shannon,14531
Isaac,14256
Sarah,14020
Paige,14005
Christopher,13625
Robert,13612
Anna,13589
Leo,13481
Sam,13344
IMOGEN,13264
Toby,13156
Maisie,13113
Jayden,13108
Charles,12786
Taylor,12763
Riley,12730
Joe,12615
Laura,12595
Noah,12301
Rhys,12117
Mason,11973
FINLEY,11846
Jade,11782
Logan,11578
Kai,11532
NICOLE,11451
RACHEL,11349
Summer,11181
Ava,11095
Niamh,11068
Zoe,11040
Isabel,11034
Isobel,10933
Sophia,10914
Abbie,10871
Muhammad,10870
Scarlett,10817
Rosie,10726
Andrew,10610
Bailey,10546
Madison,10379
Aimee,10029
Joel,9959
John,9922
Leon,9913
BROOKE,9880
Tia,9792
Finlay,9776
Natasha,9624
Billy,9430
Alisha,9294
Libby,9263
Jay,9229
Kian,9202
Aidan,9146
Alexandra,9087
DOMINIC,9077
Elliot,9045
Freddie,8960
Sean,8940
Hollie,8901
Harley,8856
Jonathan,8837
Keira,8820
Lydia,8802
Victoria,8727
Ellis,8612
Eve,8575
Eva,8169
Harriet,8102
Alicia,7988
Ashley,7876
Isla,7807
Francesca,7760
Georgina,7741
Sebastian,7579
Zachary,7558
Chelsea,7488
Lola,7430
Patrick,7420
Maria,7301
Melissa,7276
Matilda,7185
Theo,7183
Scott,7175
Lilly,7171
Danielle,7146
Mollie,7126
HAYDEN,7108
SAMANTHA,7056
Louise,7032
Faith,7016
Zara,7003
Gabriel,6983
MADDISON,6979
Nicholas,6879
Luca,6838
DECLAN,6726
Kayleigh,6711
Maya,6693
Skye,6638
Aiden,6627
Ewan,6573
Jennifer,6569
Madeleine,6546
Peter,6545
Tom,6520
Layla,6494
Corey,6417
GRACIE,6395
Anthony,6394
Louie,6264
Sara,6174
Julia,6111
Kate,6092
Mohammad,6066
Sienna,6029
Natalie,5964
Katherine,5918
Josh,5912
Aisha,5910
Casey,5884
Jodie,5881
Jason,5837
Eloise,5786
Zak,5784
Naomi,5711
Sofia,5705
MARK,5660
Reuben,5648
Yasmin,5614
Amelie,5529
Evan,5521
Marcus,5446
Elliott,5425
Ibrahim,5422
Jude,5352
Ashton,5318
Mitchell,5300
Stephanie,5164
Ali,5127
Lacey,5108
Gemma,5081
Frankie,5075
Ellen,5027
Maryam,5011
Martha,4972
STEPHEN,4896
Faye,4878
Tommy,4875
Angel,4852
Christian,4834
Kiera,4802
Tilly,4800
Elise,4773
Conor,4759
Lara,4735
Hamza,4725
Nathaniel,4716
EMILIA,4714
Rose,4702
Kelsey,4653
Mohamed,4645
Florence,4630
Demi,4604
Lee,4568
Lois,4553
Paul,4540
CODY,4535
Danny,4533
BOBBY,4512
Ross,4510
Blake,4503
Ashleigh,4502
Jakub,4480
Finn,4441
Aaliyah,4429
Sonny,4419
Tegan,4409
Fatima,4402
Annabel,4400
Frederick,4399
Ebony,4227
Natalia,4219
Esme,4203
Robyn,4187
Kane,4158
Ahmed,4122
Mya,4122
Catherine,4118
Caleb,4112
Richard,4094
Beth,4093
Rory,4089
Stanley,4079
Gabriella,4065
Zainab,4047
Lexi,4009
Rowan,3969
Gabrielle,3969
Mackenzie,3962
Evelyn,3949
Annabelle,3919
Eden,3916
Steven,3915
Cerys,3799
Annie,3768
Arthur,3759
CHARLEY,3747
Anya,3710
Zain,3652
Neve,3634
KEVIN,3632
Rhiannon,3612
Calum,3608
Heidi,3606
Lexie,3602
Madeline,3591
Sasha,3591
Shaun,3565
Hassan,3554
Kirsty,3544
Levi,3543
Muhammed,3541
Tobias,3533
Cole,3522
Sian,3516
Ronnie,3501
Shane,3472
Tristan,3459
Eliza,3448
Bethan,3448
Zahra,3340
Felix,3330
Ciara,3328
McKenzie,3315
Ciaran,3312
Elle,3304
Abby,3301
Katy,3276
Hope,3276
Kieron,3268
MAISY,3260
KACPER,3257
Yusuf,3247
MILLY,3242
Heather,3227
Maxwell,3216
India,3200
Spencer,3190
Lucie,3174
Abdullah,3166
Ayesha,3151
Esther,3147
Amina,3147
Darcy,3138
Nadia,3136
KAITLYN,3124
Mariam,3108
Caitlyn,3100
Connie,3095
Mary,3092
Alfred,3091
Rhianna,3080
Euan,3046
EMMANUEL,3045
Wiktoria,3025
Zack,2985
Robbie,2984
Elisha,2978
Curtis,2978
Abdul,2967
Omar,2953
Niall,2952
Sadie,2936
Kayla,2926
Elijah,2912
Kimberley,2905
Rio,2895
Laila,2888
Jasmin,2878
Kacey,2875
OLLIE,2865
Paris,2857
Seth,2857
Rachael,2855
Alyssa,2853
Dean,2809
Kira,2793
Adrian,2792
Macy,2784
Cara,2779
Lillie,2753
Jenna,2752
Miles,2736
Kathryn,2723
Chantelle,2717
Zac,2714
Hayley,2707
Rebekah,2694
Elena,2688
Simran,2681
Claudia,2678
Willow,2666
ROHAN,2661
Timothy,2648
Nicola,2632
Shay,2631
SAVANNAH,2630
Simon,2619
Martin,2619
